0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1.0,-0.3333333333333335,-0.33333333333333315,-0.3333333333333331,-1.489720555419094e-16,1.2018849564422021e-16,3.212450881438532e-17,1.5933756371935132e-17,-3.4994298268470397e-16,-2.1836099458098182e-16,-2.5296979874367973e-16,1.0022846750088224e-16,2.9878082240008356e-16,-2.9586934217127026e-16,-7.3809958233152e-17,1.1252477641088217e-17,1.7720685068343093e-16,3.672399521046057e-16,4.1760069119758783e-16,-8.899686861587948e-17,1.0229525128262008e-17
-0.3333333333333335,1.0,-0.33333333333333304,-0.333333333333333,4.431468909248402e-16,2.737008150985627e-16,2.7335815367120937e-16,3.786408772255552e-17,9.42318925221969e-19,-8.129642363960444e-17,-1.8443751327299097e-16,7.829813615026184e-17,6.460338561771624e-17,-4.028859127438572e-17,2.787152154177231e-16,-2.0026262654943707e-16,1.9640688246263032e-16,3.6786946134326786e-16,8.364604008725e-17,5.146238026064117e-17,6.436731965321784e-17
-0.33333333333333315,-0.33333333333333304,1.0,-0.3333333333333333,2.774700907994503e-16,7.084525010532434e-17,-1.4297548056322411e-16,-1.745859972365794e-16,2.337807588118865e-16,2.7781275222680403e-16,1.9283271824315026e-16,-1.536836501680193e-16,-1.9412491147247974e-16,2.675414264314676e-16,-1.2731824351944545e-16,1.3274776070290773e-16,-9.474114041867258e-17,-3.5669567235701225e-16,-2.385053127981699e-16,1.3070185567725528e-16,-3.47803854360908e-17
-0.3333333333333331,-0.333333333333333,-0.3333333333333333,1.0,-4.2001724457848295e-16,-2.330954359571798e-16,-7.230156117157655e-17,8.737866397512814e-17,2.912622132504268e-17,-2.1416339209590214e-18,2.2778418383320166e-16,-2.12450084959135e-17,-1.8759375312135876e-16,4.0918100513048014e-17,-8.435423798074514e-17,7.333782630415537e-17,-2.889447405459851e-16,-3.739284877653924e-16,-2.710037272441101e-16,-8.876080265138114e-17,-3.934432741639234e-17
-1.489720555419094e-16,4.431468909248402e-16,2.774700907994503e-16,-4.2001724457848295e-16,1.0,-0.33333333333333265,-0.333333333333333,-0.3333333333333325,-4.5659635194846274e-17,2.2872650275842327e-17,-4.3603666630725654e-17,-1.696174065399544e-17,-7.754766933770925e-17,-4.4341056998274096e-17,9.521327234766931e-18,-4.811811243024781e-17,4.918040927049032e-18,6.641322467887012e-17,5.3154186339545934e-17,1.9278720434032227e-18,3.540989467475307e-18
1.2018849564422021e-16,2.737008150985627e-16,7.084525010532434e-17,-2.330954359571798e-16,-0.33333333333333265,1.0,-0.33333333333333387,-0.33333333333333337,-4.463165091278596e-17,-2.5442610980993157e-17,-4.051971378454468e-17,8.566535683836082e-18,-1.7941013301874902e-17,-3.761317701007103e-17,-1.9514786398530577e-17,6.287223521139496e-17,7.019028011084382e-17,9.387556521551195e-17,6.476076292738167e-17,1.9160687451783058e-17,1.967216370819616e-18
3.212450881438532e-17,2.7335815367120937e-16,-1.4297548056322411e-16,-7.230156117157655e-17,-0.333333333333333,-0.33333333333333387,1.0,-0.3333333333333328,2.715591811776037e-17,1.362079173729937e-17,8.480870326997726e-18,6.339236406038702e-18,9.725917737332187e-17,-9.600015889599722e-18,-3.9029572797061166e-17,8.049849389393874e-17,2.0773804875855125e-17,-3.989514800022177e-17,-1.6288551550386404e-17,2.7265618899559884e-17,1.1881986879750482e-17
1.5933756371935132e-17,3.786408772255552e-17,-1.745859972365794e-16,8.737866397512814e-17,-0.3333333333333325,-0.33333333333333337,-0.3333333333333328,1.0,1.118789560308993e-16,6.673331297708314e-17,6.279270656251857e-17,-3.5636788444758146e-17,1.7311504063212648e-17,8.057718254877152e-17,2.51803695464911e-18,-8.340997412275185e-17,-9.694442275399068e-17,-1.1173788986255418e-16,-1.0386902437927572e-16,-4.6583683661008564e-17,-1.7626258682543778e-17
-3.4994298268470397e-16,9.42318925221969e-19,2.337807588118865e-16,2.912622132504268e-17,-4.5659635194846274e-17,-4.463165091278596e-17,2.715591811776037e-17,1.118789560308993e-16,1.0,-0.3333333333333333,-0.33333333333333387,-0.3333333333333333,-7.790176828445682e-18,-1.5108221727894645e-17,-1.400658056023566e-17,-7.632799518780114e-18,1.3534448631238946e-17,5.272139873796565e-18,3.926563876155949e-17,2.175741306126496e-17,-4.40656467063594e-18
-2.1836099458098182e-16,-8.129642363960444e-17,2.7781275222680403e-16,-2.1416339209590214e-18,2.2872650275842327e-17,-2.5442610980993157e-17,1.362079173729937e-17,6.673331297708314e-17,-0.3333333333333333,1.0,-0.3333333333333335,-0.3333333333333331,1.5304943364976625e-17,2.4904959254576336e-17,2.872135901396639e-17,2.11279038226027e-17,1.7665603009960142e-17,2.1088559495186267e-17,1.9160687451783046e-17,2.2504955282176418e-17,2.8563981704300836e-17
