id,high_correlated_pair_ratio
4538,0.016129032258064516
40975,0.0
40701,0.015151515151515152
1497,0.0
469,0.004761904761904762
1464,0.16666666666666666
23,0.010869565217391304
1475,0.02431372549019608
1067,0.48095238095238096
40982,0.045584045584045586
1068,0.2714285714285714
1050,0.17567567567567569
1049,0.06306306306306306
1487,0.1486697965571205
1494,0.01707317073170732
1063,0.5571428571428572
1510,0.10114942528735632
458,0.0
1485,9.619238476953908e-05
4134,0.00031848750158609314
40994,0.0
1480,0.03636363636363636
11,0.0
37,0.0
54,0.20261437908496732
50,0.0
31,0.001639344262295082
46,0.012158573134182891
